Time,PersonDistance,PersonOffset,V,Omega,TargetRight,TargetLeft
1733807529,1.0230000019073486,71.0,1150.0000953674316,-6940.371443560402,-5790.371348192971,8090.371538927834
1733807529,1.027999997138977,70.0,1399.9998569488525,-6809.338540351823,-5409.338683402971,8209.338397300675
1733807529,1.0260000228881836,68.0,1300.0011444091797,-6627.680164039415,-5327.679019630235,7927.681308448595
1733807529,1.0600000619888306,25.0,1300.0011444091797,-6627.680164039415,-5327.679019630235,7927.681308448595
1733807530,1.0770000219345093,-30.0,1300.0011444091797,-6627.680164039415,-5327.679019630235,7927.681308448595
1733807530,1.059000015258789,-59.0,2950.000762939453,5571.293593001706,8521.294355941158,-2621.2928300622525
1733807530,1.0460000038146973,-79.0,2300.0001907348633,7552.581234406491,9852.581425141354,-5252.581043671627
1733807530,1.0390000343322754,-104.0,1950.0017166137695,8000.0,9950.00171661377,-6049.9982833862305
1733807530,1.0600000619888306,-86.0,3000.0030994415283,8000.0,11000.003099441528,-4999.996900558472
1733807530,1.1190000772476196,-40.0,5950.003862380981,3574.619949838354,9524.623812219335,2375.3839125426275
1733807530,1.1050000190734863,7.0,5250.000953674316,-633.484151961311,4616.516801713005,5883.485105635627
1733807530,1.099000096321106,39.0,4950.004816055298,-3548.680307722646,1401.324508332652,8498.685123777945
1733807530,1.128000020980835,49.0,6400.001049041748,-4343.9715504076685,2056.0294986340796,10743.972599449417
1733807530,1.1430000066757202,45.0,7150.000333786011,-3937.007851021555,3212.992482764456,11087.008184807566
1733807531,1.1190000772476196,9.0,5950.003862380981,-804.2894887136296,5145.7143736673515,6754.293351094611
1733807531,1.1069999933242798,-21.0,5349.999666213989,1897.0189816296006,7247.01864784359,3452.9806845843887
1733807531,1.1069999933242798,-21.0,5349.999666213989,1897.0189816296006,7247.01864784359,3452.9806845843887
1733807531,1.099000096321106,-77.0,4950.004816055298,7006.368812683173,11956.37362873847,-2056.363996627875
1733807531,1.099000096321106,-62.0,4950.004816055298,5641.491771251386,10591.496587306683,-691.4869551960883
1733807531,1.1010000705718994,-35.0,5050.003528594971,3178.9280432852042,8228.931571880175,1871.0754853097665
1733807531,1.1010000705718994,-35.0,5050.003528594971,3178.9280432852042,8228.931571880175,1871.0754853097665
1733807531,1.1850000619888306,21.0,9250.003099441528,-1772.1518060307021,7477.851293410826,11022.15490547223
1733807531,1.1850000619888306,21.0,9250.003099441528,-1772.1518060307021,7477.851293410826,11022.15490547223
1733807531,1.281000018119812,65.0,9250.003099441528,-1772.1518060307021,7477.851293410826,11022.15490547223
1733807532,1.2780001163482666,74.0,10000.0,-5790.296812448359,4209.703187551641,15790.29681244836
1733807532,1.3000000715255737,52.0,10000.0,-3999.999779921324,6000.000220078677,13999.999779921323
1733807532,1.3060001134872437,37.0,10000.0,-2833.077854886526,7166.9221451134745,12833.077854886526
1733807532,1.3060001134872437,37.0,10000.0,-2833.077854886526,7166.9221451134745,12833.077854886526
1733807532,1.3060001134872437,37.0,10000.0,-2833.077854886526,7166.9221451134745,12833.077854886526
1733807532,1.249000072479248,-54.0,10000.0,4323.458516124081,14323.458516124081,5676.541483875919
1733807532,1.2440000772476196,-60.0,10000.0,4823.150825902797,14823.150825902798,5176.849174097203
1733807532,1.2470000982284546,-78.0,10000.0,6255.011536150669,16255.011536150669,3744.9884638493313
1733807532,1.249000072479248,-103.0,10000.0,8000.0,18000.0,2000.0
1733807532,1.2730000019073486,-61.0,10000.0,4791.830314894194,14791.830314894194,5208.169685105806
1733807533,1.2890000343322754,-22.0,10000.0,1706.7493726946552,11706.749372694656,8293.250627305344
1733807533,1.2890000343322754,-22.0,10000.0,1706.7493726946552,11706.749372694656,8293.250627305344
1733807533,1.315000057220459,41.0,10000.0,-3117.8705867635085,6882.129413236491,13117.870586763509
1733807533,3.192000150680542,266.0,10000.0,-8000.0,2000.0,18000.0
1733807533,1.315000057220459,41.0,10000.0,-3117.8705867635085,6882.129413236491,13117.870586763509
1733807533,1.3170000314712524,37.0,10000.0,-2809.4152707548847,7190.584729245115,12809.415270754886
1733807533,1.3170000314712524,37.0,10000.0,-2809.4152707548847,7190.584729245115,12809.415270754886
1733807533,1.3170000314712524,37.0,10000.0,-2809.4152707548847,7190.584729245115,12809.415270754886
1733807533,1.3060001134872437,-51.0,10000.0,-2809.4152707548847,7190.584729245115,12809.415270754886
1733807533,1.3470001220703125,-34.0,10000.0,3905.053259438185,13905.053259438184,6094.946740561815
1733807534,1.4000000953674316,-34.0,10000.0,2428.5712631381402,12428.57126313814,7571.42873686186
1733807534,1.4160000085830688,-61.0,10000.0,4307.909578407426,14307.909578407427,5692.090421592574
1733807534,1.4000000953674316,-77.0,10000.0,4307.909578407426,14307.909578407427,5692.090421592574
1733807534,1.443000078201294,-23.0,10000.0,1593.9015075224115,11593.901507522412,8406.098492477588
1733807534,1.4640001058578491,7.0,10000.0,-478.1420419295846,9521.857958070415,10478.142041929585
1733807534,1.4570000171661377,32.0,10000.0,-2196.29372841326,7803.70627158674,12196.29372841326
1733807534,1.3970000743865967,55.0,10000.0,-3937.0076643803854,6062.992335619614,13937.007664380386
1733807534,1.4130001068115234,41.0,10000.0,-2901.6275230521896,7098.37247694781,12901.62752305219
1733807534,1.4570000171661377,14.0,10000.0,-960.8785061808011,9039.121493819199,10960.878506180801
1733807534,1.5080000162124634,-8.0,10000.0,530.5039730764083,10530.503973076407,9469.496026923593
1733807535,1.5120000839233398,-32.0,10000.0,2116.4019989315316,12116.401998931531,7883.598001068469
1733807535,1.5430001020431519,-40.0,10000.0,2592.3523885082254,12592.352388508225,7407.647611491775
1733807535,1.559000015258789,-37.0,10000.0,2373.3162051225586,12373.316205122559,7626.683794877441
1733807535,1.5430001020431519,-33.0,10000.0,2138.6907205192856,12138.690720519286,7861.309279480714
