Time,PersonDistance,PersonOffset,V,Omega,TargetRight,TargetLeft
1734400927,1.3320000171661377,-31.0,1660.0000858306885,2327.327297333918,3987.3273831646065,-667.3272115032296
1734400927,1.3680000305175781,-32.0,1660.0000858306885,2327.327297333918,3987.3273831646065,-667.3272115032296
1734400927,1.4200000762939453,-27.0,2100.0003814697266,1901.4083485451094,4001.408730014836,198.59203292461711
1734400927,1.4640001058578491,-17.0,2320.0005292892456,1161.202101828991,3481.2026311182367,1158.7984274602545
1734400927,1.6050000190734863,-3.0,3025.0000953674316,186.91588562919776,3211.9159809966295,2838.0842097382338
1734400927,1.7040001153945923,20.0,3025.0000953674316,186.91588562919776,3211.9159809966295,2838.0842097382338
1734400927,1.7590000629425049,28.0,3025.0000953674316,186.91588562919776,3211.9159809966295,2838.0842097382338
1734400927,1.8340001106262207,32.0,3795.0003147125244,-1591.813473454959,2203.1868412575654,5386.813788167483
1734400927,1.880000114440918,35.0,4400.00057220459,-1861.7020143325067,2538.298557872083,6261.702586537096
1734400928,1.909000039100647,37.0,4400.00057220459,-1861.7020143325067,2538.298557872083,6261.702586537096
1734400928,1.9590001106262207,25.0,4400.00057220459,-1861.7020143325067,2538.298557872083,6261.702586537096
1734400928,2.0810000896453857,8.0,5405.000448226929,-384.4305456691857,5020.569902557743,5789.430993896114
1734400928,2.1550002098083496,-5.0,5405.000448226929,-384.4305456691857,5020.569902557743,5789.430993896114
1734400928,2.2100000381469727,-6.0,5775.001049041748,232.01853889585766,6007.019587937606,5542.98251014589
1734400928,2.259999990463257,4.0,6299.999952316284,-176.99115118934475,6123.008801126939,6476.991103505629
1734400928,2.3030002117156982,15.0,6515.001058578491,-651.3242996545467,5863.676758923944,7166.325358233038
1734400928,2.330000162124634,24.0,6650.000810623169,-1030.0428467831248,5619.957963840045,7680.043657406293
1734400928,2.385000228881836,34.0,6650.000810623169,-1030.0428467831248,5619.957963840045,7680.043657406293
1734400928,2.385000228881836,33.0,6925.00114440918,-1425.5763831075305,5499.424761301649,8350.57752751671
1734400929,2.453000068664551,28.0,7265.000343322754,-1141.45940547175,6123.540937851004,8406.459748794503
1734400929,2.4130001068115234,17.0,7065.000534057617,-704.5171673226059,6360.483366735011,7769.517701380223
1734400929,2.4830000400543213,8.0,7415.000200271606,-322.19089290973113,7092.809307361876,7737.191093181337
1734400929,2.5250000953674316,-3.0,7625.000476837158,118.81187670067979,7743.812353537838,7506.188600136478
1734400929,2.623000144958496,-13.0,8115.0007247924805,495.6156798155915,8610.616404608072,7619.385044976889
