Time,PersonDistance,PersonOffset,V,Omega,TargetRight,TargetLeft
1734414795,1.7292500734329224,63.0,3646.250367164612,-3580.1977634635487,66.05260370106316,7226.4481306281605
1734414795,1.7426000833511353,63.0,3713.0004167556763,-3615.287328510098,97.71308824557809,7328.287745265774
1734414795,1.7716001272201538,66.0,3713.0004167556763,-3615.287328510098,97.71308824557809,7328.287745265774
1734414795,1.8016000986099243,66.0,3858.000636100769,-3725.4456570604148,132.55497904035428,7583.446293161183
1734414796,1.8242000341415405,48.0,3858.000636100769,-3725.4456570604148,132.55497904035428,7583.446293161183
1734414796,1.8516000509262085,25.0,3858.000636100769,-3725.4456570604148,132.55497904035428,7583.446293161183
1734414796,1.8696000576019287,12.0,4258.0002546310425,-1350.1835878376912,2907.816666793351,5608.183842468734
1734414796,1.8898000717163086,1.0,4449.000358581543,-52.91565044189061,4396.084708139652,4501.916009023434
1734414796,1.914600133895874,-13.0,4449.000358581543,-52.91565044189061,4396.084708139652,4501.916009023434
1734414796,1.9536000490188599,-20.0,4449.000358581543,-52.91565044189061,4396.084708139652,4501.916009023434
1734414796,1.9926000833511353,-32.0,4963.000416755676,1605.941918168683,6568.942334924359,3357.058498586993
1734414796,2.0329999923706055,-35.0,4963.000416755676,1605.941918168683,6568.942334924359,3357.058498586993
1734414796,2.070200204849243,-36.0,5164.999961853027,1721.5937103466392,6886.593672199667,3443.406251506388
1734414796,2.1000001430511475,-34.0,5164.999961853027,1721.5937103466392,6886.593672199667,3443.406251506388
1734414797,2.1222000122070312,-20.0,5500.000715255737,1619.50962591602,7119.510341171757,3880.4910893397173
1734414797,2.1562001705169678,-4.0,5500.000715255737,1619.50962591602,7119.510341171757,3880.4910893397173
1734414797,2.1974000930786133,11.0,5781.000852584839,185.51153342321484,5966.512386008054,5595.489319161624
1734414797,2.2370002269744873,14.0,6185.0011348724365,-607.8381131771193,5577.163021695317,6792.839248049556
1734414797,2.282600164413452,17.0,6185.0011348724365,-607.8381131771193,5577.163021695317,6792.839248049556
1734414797,2.323200225830078,20.0,6616.001129150391,-860.8814590164742,5755.119670133917,7476.8825881668645
1734414797,2.3480000495910645,21.0,6616.001129150391,-860.8814590164742,5755.119670133917,7476.8825881668645
1734414797,2.371800184249878,20.0,6740.000247955322,-893.9160581608126,5846.08418979451,7633.916306116134
1734414797,2.394400119781494,17.0,6859.00092124939,-843.7034716698173,6015.2974495795725,7702.704392919207
1734414797,2.4395999908447266,14.0,6972.000598907471,-712.7053858552981,6259.295213052173,7684.705984762769
1734414798,2.488800048828125,9.0,7444.000244140625,-369.61468516244605,7074.385558978179,7813.614929303071
1734414798,2.5502002239227295,11.0,7751.0011196136475,-429.8154923458664,7321.1856272677815,8180.8166119595135
1734414798,2.6212000846862793,20.0,7751.0011196136475,-431.33868065777796,7319.662438955869,8182.339800271426
1734414798,2.6836001873016357,15.0,7751.0011196136475,-431.33868065777796,7319.662438955869,8182.339800271426
1734414798,2.707000255584717,4.0,8535.001277923584,-147.76503961341493,8387.23623831017,8682.766317536998
1734414798,2.745800256729126,-12.0,8535.001277923584,-147.76503961341493,8387.23623831017,8682.766317536998
1734414798,2.773200273513794,-5.0,8729.00128364563,421.03106478598846,9150.032348431618,8307.970218859642
1734414798,2.791600227355957,8.0,8866.00136756897,187.28435717071991,9053.28572473969,8678.71701039825
1734414798,2.829200267791748,9.0,9146.00133895874,-304.1111199929761,8841.890218965764,9450.112458951717
1734414798,2.8686001300811768,10.0,9343.000650405884,-348.13997259154775,8994.860677814337,9691.140622997431
1734414799,2.9078001976013184,14.0,9539.000988006592,-477.60750645600683,9061.393481550585,10016.608494462598
1734414799,2.9474000930786133,16.0,9539.000988006592,-481.4636167763101,9057.537371230283,10020.464604782901
1734414799,2.978800058364868,18.0,9737.000465393066,-541.3281211378248,9195.672344255241,10278.328586530892
1734414799,2.990600109100342,17.0,9894.00029182434,-602.746975758134,9291.253316066206,10496.747267582476
1734414799,2.9870002269744873,17.0,9894.00029182434,-602.746975758134,9291.253316066206,10496.747267582476
1734414799,3.017000198364258,17.0,9935.001134872437,-569.1328660265683,9365.868268845868,10504.134000899005
1734414799,3.064333438873291,14.0,10085.000991821289,-563.4736122727793,9521.52737954851,10648.474604094068
1734414799,3.1050002574920654,13.0,10321.667194366455,-459.5847861452582,9862.082408221197,10781.251980511714
1734414799,3.1328001022338867,13.0,10664.000511169434,-415.4263528494821,10248.574158319952,11079.426864018915
1734414799,3.1948001384735107,12.0,10974.000692367554,-376.07246772315335,10597.9282246444,11350.073160090707
1734414800,3.244800090789795,12.0,11224.000453948975,-369.8224748594346,10854.17797908954,11593.82292880841
1734414800,3.265200138092041,15.0,11326.000690460205,-456.67446598324943,10869.326224476956,11782.675156443454
1734414800,3.2828001976013184,19.0,11414.000988006592,-574.9180719733054,10839.082916033287,11988.919059979897
1734414800,3.312000036239624,21.0,11414.000988006592,-578.7741822936086,10835.226805712984,11992.7751703002
1734414800,3.3422000408172607,25.0,11560.00018119812,-632.5347757647726,10927.465405433348,12192.534956962892
1734414800,3.3724000453948975,29.0,11711.000204086304,-744.1541731661036,10966.8460309202,12455.154377252407
1734414800,3.4020001888275146,30.0,11711.000204086304,-744.1541731661036,10966.8460309202,12455.154377252407
1734414800,3.4020001888275146,31.0,12010.000944137573,-910.7665212715939,11099.234422865979,12920.767465409168
1734414800,3.4020001888275146,31.0,12010.000944137573,-910.7665212715939,11099.234422865979,12920.767465409168
1734414800,3.6744000911712646,32.0,13372.000455856323,-870.4283467551652,12501.572109101158,14242.428802611488
