Time,PersonDistance,PersonOffset,V,Omega,TargetRight,TargetLeft
1733882807,1.0329999923706055,-48.0,0.0,3700.0,3700.0,-3700.0
1733882807,1.0740000009536743,-53.0,1649.9996185302734,4635.660247290614,6285.659865820888,-2985.660628760341
1733882807,1.0740000009536743,-53.0,3700.000047683716,4929.823086865723,8629.823134549439,-1229.823039182007
1733882807,1.0660001039505005,-48.0,3300.0051975250244,4507.813819821998,7807.819017347022,-1207.8086222969732
1733882807,1.0440000295639038,-26.0,2200.0014781951904,2512.421385415155,4712.422863610345,-312.41990721996444
1733882807,0.9610000252723694,17.0,0.0,-1657.0,-1657.0,1657.0
1733882807,0.9050000309944153,79.0,0.0,-5066.0,-5066.0,5066.0
1733882807,0.9050000309944153,79.0,0.0,-7872.0,-7872.0,7872.0
1733882808,0.9010000228881836,88.0,0.0,-8000.0,-8000.0,8000.0
1733882808,0.9250000715255737,77.0,0.0,-7711.0,-7711.0,7711.0
1733882808,0.9520000219345093,43.0,0.0,-4334.0,-4334.0,4334.0
1733882808,0.9720000624656677,23.0,0.0,-2320.0,-2320.0,2320.0
1733882808,0.9940000176429749,6.0,0.0,-617.0,-617.0,617.0
1733882808,0.9920000433921814,8.0,0.0,-798.0,-798.0,798.0
1733882808,1.0140000581741333,9.0,700.002908706665,-886.5739135760915,-186.57100486942647,1586.5768222827564
1733882808,1.0530000925064087,14.0,2650.0046253204346,-1324.5345460679334,1325.4700792525011,3974.5391713883682
1733882808,1.0910000801086426,18.0,4550.004005432129,-1645.862390313257,2904.141615118872,6195.866395745386
1733882808,1.1299999952316284,18.0,6499.999761581421,-1592.920360704103,4907.079400877318,8092.920122285524
1733882809,1.1780000925064087,21.0,8900.004625320435,-1779.6823727423225,7120.322252578112,10679.686998062756
1733882809,1.2120000123977661,16.0,10000.0,-1325.1319996974523,8674.868000302547,11325.131999697453
1733882809,1.2040001153945923,22.0,10000.0,-1821.2423497891314,8178.757650210869,11821.242349789132
1733882809,1.1920000314712524,36.0,9600.001573562622,-3006.134148450164,6593.867425112458,12606.135722012787
1733882809,1.1950000524520874,62.0,9750.00262260437,-5162.284291099296,4587.718331505074,14912.286913703665
1733882809,1.1759999990463257,53.0,8799.999952316284,-4515.802724743216,4284.197227573069,13315.802677059499
1733882809,1.1880000829696655,52.0,8799.999952316284,-4515.802724743216,4284.197227573069,13315.802677059499
1733882809,1.1720000505447388,40.0,8600.002527236938,-3424.969136085637,5175.033391151302,12024.971663322576
1733882809,1.1600000858306885,35.0,8000.004291534424,-3022.2411560587193,4977.763135475705,11022.245447593143
1733882809,1.1630001068115234,32.0,8150.005340576172,-2754.5044764467884,5395.500864129383,10904.509817022961
1733882810,1.156000018119812,33.0,7800.000905990601,-2853.67123553105,4946.3296704595505,10653.67214152165
1733882810,1.1630001068115234,29.0,8150.005340576172,-2497.550931779902,5652.4544087962695,10647.556272356074
1733882810,1.1600000858306885,26.0,8000.004291534424,-2244.379144500763,5755.625147033661,10244.383436035187
1733882810,1.1780000925064087,17.0,8900.004625320435,-1452.1238255533087,7447.880799767126,10352.128450873743
1733882810,1.2310000658035278,9.0,10000.0,-739.1128772462985,9260.887122753702,10739.112877246298
1733882810,1.2950000762939453,6.0,10000.0,-466.32043602429036,9533.67956397571,10466.32043602429
1733882810,1.3320000171661377,10.0,10000.0,-746.7507410754575,9253.249258924543,10746.750741075457
