Time,PersonDistance,PersonOffset,V,Omega,TargetRight,TargetLeft
1733808373,0.9940000176429749,5.0,0.0,-500.0,-500.0,500.0
1733808373,0.9830000400543213,5.0,0.0,-500.0,-500.0,500.0
1733808373,0.9880000352859497,1.0,0.0,-140.0,-140.0,140.0
1733808374,1.03000009059906,-4.0,1500.004529953003,338.34948040378845,1838.3540103567914,1161.6550495492145
1733808374,0.9970000386238098,-2.0,0.0,220.0,220.0,-220.0
1733808374,0.9910000562667847,-3.0,0.0,290.0,290.0,-290.0
1733808374,1.0110000371932983,-8.0,0.0,300.0,300.0,-300.0
1733808374,1.03000009059906,-9.0,1500.004529953003,813.786330908524,2313.790860861527,686.218199044479
1733808374,1.0329999923706055,-11.0,1649.9996185302734,1044.859640004099,2694.859258534372,605.1399785261744
1733808374,1.0480000972747803,-9.0,2400.0048637390137,878.7785462428488,3278.7834099818624,1521.226317496165
1733808374,1.0420000553131104,-2.0,2400.0048637390137,858.7785462428488,3258.7834099818624,1541.226317496165
1733808374,1.0120000839233398,7.0,2100.0027656555176,261.93856946572043,2361.941335121238,1838.0641961897973
1733808374,1.0190000534057617,19.0,950.0026702880859,-1654.5730131708126,-704.5703428827267,2604.5756834588983
1733808375,1.0170000791549683,34.0,850.0039577484131,-3193.1659148198705,-2343.1619570714574,4043.1698725682836
1733808375,1.0530000925064087,44.0,2650.0046253204346,-4078.537144784934,-1428.5325194644993,6728.541770105368
1733808375,1.0420000553131104,53.0,2100.0027656555176,-4996.372090841593,-2896.369325186075,7096.37485649711
1733808375,1.0570000410079956,55.0,2850.0020503997803,-5183.405663783125,-2333.403613383345,8033.407714182906
1733808375,1.0720000267028809,48.0,2850.0020503997803,-5203.405663783125,-2353.403613383345,8053.407714182906
1733808375,1.0830000638961792,31.0,4150.00319480896,-3102.419037028957,1047.584157780003,7252.422231837917
1733808375,1.1170001029968262,10.0,5850.005149841309,-1105.2550651670276,4744.7500846742805,6955.260215008337
1733808375,1.1410000324249268,-8.0,7050.001621246338,521.1393315211293,7571.140952767467,6528.862289725209
1733808375,1.1299999952316284,-26.0,7050.001621246338,701.1393315211293,7751.140952767467,6348.862289725209
1733808375,1.1510000228881836,-36.0,7550.00114440918,2847.7149682122376,10397.716112621418,4702.286176196942
1733808376,1.1670000553131104,-36.0,8350.002765655518,3084.832758670356,11434.835524325874,5265.170006985161
1733808376,1.1450001001358032,-37.0,7250.005006790161,3221.440765429767,10471.445772219928,4028.564241360394
1733808376,1.165000081062317,-31.0,8250.004053115845,2720.9440208564056,10970.94807397225,5529.060032259439
1733808376,1.165000081062317,-22.0,8250.004053115845,1978.411885769062,10228.415938884908,6271.592167346783
1733808376,1.1299999952316284,-5.0,6499.999761581421,612.477877973362,7112.477639554783,5887.5218836080585
1733808376,1.1450001001358032,10.0,7250.005006790161,-723.3623690350722,6526.642637755089,7973.3673758252335
1733808376,1.1430000066757202,12.0,7150.000333786011,-1029.8687602724146,6120.131573513596,8179.869094058426
1733808376,1.1260000467300415,15.0,7150.000333786011,-1049.8687602724146,6100.131573513596,8199.869094058426
1733808376,1.1780000925064087,8.0,8900.004625320435,-719.1170943780276,8180.8875309424075,9619.121719698462
1733808376,1.1970000267028809,4.0,9850.001335144043,-374.1687477666932,9475.83258737735,10224.170082910736
1733808377,1.1920000314712524,-1.0,9600.001573562622,33.89261523472679,9633.894188797349,9566.108958327895
1733808377,1.1880000829696655,3.0,9400.004148483276,-212.52523488894423,9187.478913594332,9612.52938337222
1733808377,1.1850000619888306,17.0,9250.003099441528,-1294.5990810724732,7955.404018369055,10544.602180514
1733808377,1.1850000619888306,17.0,9250.003099441528,-1434.5990810724732,7815.404018369055,10684.602180514
1733808377,1.2340000867843628,43.0,9250.003099441528,-1434.5990810724732,7815.404018369055,10684.602180514
1733808377,1.2360000610351562,47.0,9250.003099441528,-1434.5990810724732,7815.404018369055,10684.602180514
1733808377,1.249000072479248,43.0,9250.003099441528,-1434.5990810724732,7815.404018369055,10684.602180514
1733808377,1.252000093460083,39.0,9250.003099441528,-1434.5990810724732,7815.404018369055,10684.602180514
1733808377,1.2340000867843628,42.0,10000.0,-3403.5654008296156,6596.434599170385,13403.565400829615
1733808377,1.2420001029968262,40.0,10000.0,-3240.6116491845587,6759.388350815441,13240.611649184559
1733808378,1.221000075340271,36.0,10000.0,-2988.40276647546,7011.597233524541,12988.40276647546
1733808378,1.221000075340271,21.0,10000.0,-1869.9016137773517,8130.0983862226485,11869.901613777352
1733808378,1.2760000228881836,-7.0,10000.0,-1869.9016137773517,8130.0983862226485,11869.901613777352
1733808378,1.2420001029968262,-32.0,10000.0,2576.489319347647,12576.489319347647,7423.510680652353
1733808378,1.2120000123977661,-58.0,10000.0,4525.478498903265,14525.478498903265,5474.521501096735
1733808378,1.2120000123977661,-58.0,10000.0,4785.478498903265,14785.478498903265,5214.521501096735
1733808378,1.2680000066757202,-65.0,10000.0,5056.182938311544,15056.182938311544,4943.817061688456
1733808378,1.309000015258789,-50.0,10000.0,3969.709657536941,13969.709657536941,6030.290342463059
1733808378,1.3000000715255737,-26.0,10000.0,3969.709657536941,13969.709657536941,6030.290342463059
